,airline_sentiment,negativereason,airline,text_clean
0,0,,Virgin America,dhepburn said
1,0,,Virgin America,plus added commercials experience tacky
2,0,,Virgin America,not today must mean need take another trip
3,1,Bad Flight,Virgin America,really aggressive blast obnoxious entertainment guests faces amp little recourse
4,1,Can't Tell,Virgin America,really big bad thing
5,1,Can't Tell,Virgin America,seriously would pay 30 flight seats not playing really bad thing flying va
6,0,,Virgin America,yes nearly every time fly vx ear worm go away
7,0,,Virgin America,really missed prime opportunity men without hats parody https co mwpg7grezp
8,0,,Virgin America,virginamerica well not
9,0,,Virgin America,amazing arrived hour early good
10,0,,Virgin America,know suicide second leading cause death among teens 10 24
11,0,,Virgin America,lt 3 pretty graphics much better minimal iconography
12,0,,Virgin America,great deal already thinking 2nd trip australia amp not even gone 1st trip yet p
13,0,,Virgin America,virginmedia flying fabulous seductive skies u take stress away travel http co ahlxhhkiyn
14,0,,Virgin America,thanks
15,1,Late Flight,Virgin America,sfo pdx schedule still mia
16,0,,Virgin America,excited first cross country flight lax mco heard nothing great things virgin america 29daystogo
17,1,Bad Flight,Virgin America,flew nyc sfo last week could not fully sit seat due two large gentleman either side help
18,0,,Virgin America,flying
19,0,,Virgin America,know would amazingly awesome bos fll please want fly
20,1,Can't Tell,Virgin America,first fares may three times carriers seats available select
21,0,,Virgin America,love graphic http co ut5grrwaaa
22,0,,Virgin America,love hipster innovation feel good brand
23,0,,Virgin America,making bos gt las non stop permanently anytime soon
24,1,Customer Service Issue,Virgin America,guys messed seating reserved seating friends guys gave seat away want free internet
25,1,Customer Service Issue,Virgin America,status match program applied three weeks called emailed no response
26,1,Can't Tell,Virgin America,happened 2 ur vegan food options least say ur site know not able 2 eat anything next 6 hrs fail
27,0,,Virgin America,miss not worry together soon
28,1,Bad Flight,Virgin America,amazing not get cold air vents vx358 noair worstflightever roasted sfotobos
29,0,,Virgin America,lax ewr middle seat red eye noob maneuver sendambien andchexmix
30,1,Flight Booking Problems,Virgin America,hi bked cool birthday trip not add elevate no cause entered middle name flight booking problems
31,0,,Virgin America,hours operation club sfo posted online current
32,1,Customer Service Issue,Virgin America,help left expensive headphones flight 89 iad lax today seat 2a no one answering l amp f number lax
33,1,Customer Service Issue,Virgin America,awaiting return phone call would prefer use online self service option
34,0,,Virgin America,great news america could start flights hawaii end year http co r8p2zy3fe4 via pacificbiznews
35,0,,Virgin America,nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience http co y7o0unxtqp
36,0,,Virgin America,moodlighting way fly best experience ever cool calming moodlitmonday
37,0,,Virgin America,freddieawards done done best airline around hands
38,0,,Virgin America,book flight hawaii
39,1,Customer Service Issue,Virgin America,chat support not working site http co vhp2gtdwpk
40,0,,Virgin America,view downtown los angeles hollywood sign beyond rain mountains http co dw5nf0ibtr
41,1,Flight Booking Problems,Virgin America,hey first time flyer next week excited hard time getting flights added elevate account help
42,0,,Virgin America,plz help win bid upgrade flight 2 27 lax gt sea
43,0,,Virgin America,unused ticket moved new city not fly fly expires travelhelp
44,0,,Virgin America,flights leaving dallas seattle time feb 24
45,0,,Virgin America,elevategold good reason rock
46,0,,Virgin America,dream http co oa2drfaoq2 http co lwwdac2khx
47,0,,Virgin America,wow blew mind
48,0,,Virgin America,ladygaga carrieunderwood last night tribute soundofmusic oscars2015 ladygaga think carrieunderwood agree
49,0,,Virgin America,ladygaga carrieunderwood entertaining
50,0,,Virgin America,flight 769 way supposed take 30 minutes ago website still shows time not flight thanks
51,0,,Virgin America,ladygaga carrieunderwood julie andrews way though ladygaga impressive no carrieunderwood
52,0,,Virgin America,wish flew atlanta soon
53,0,,Virgin America,ladygaga carrieunderwood julie andrews hands
54,0,,Virgin America,flights leaving dallas la february 24th
55,1,Flight Booking Problems,Virgin America,hi excited 99 lga gt dal deal trying 2 book since last week amp page never loads thx
56,0,,Virgin America,know need spotify stat guiltypleasures
57,0,,Virgin America,ladygaga carrieunderwood lady gaga amazing
58,0,,Virgin America,ladygaga carrieunderwood carrie
59,0,,Virgin America,new marketing song https co f2lfulcbq7 let us know think
60,0,,Virgin America,ladygaga carrieunderwood julie andrews first lady gaga wow would last night carrie meh
61,1,Customer Service Issue,Virgin America,called 3 4 weeks ago adding 3 flights 2014 elevate still not shown help
62,0,,Virgin America,ladygaga carrieunderwood great go carrieunderwood
63,0,,Virgin America,ladygaga carrieunderwood sorry mary martin first
64,0,,Virgin America,ladygaga carrieunderwood love three really not beat classics
65,0,,Virgin America,flight 0736 dal dca 2 24 2 10pm tried check could not status please
66,1,Customer Service Issue,Virgin America,heyyyy guyyyys trying get hour someone call please
67,1,Late Flight,Virgin America,hi virgin hold 40 50 minutes earlier flights la nyc tonight earlier 11 50pm
68,0,,Virgin America,congrats winning travelzoo award best deals airline us http co kj1iljaebv
69,1,Lost Luggage,Virgin America,everything fine lost bag
70,0,,Virgin America,virginamerica need change reservation virgin credit card need modify phone waive change fee online
